 ,Area,IntDen,RawIntDen
1,3.652,2449.686,25491.000
2,5.670,9837.760,102370.000
3,0.192,97.926,1019.000
4,5.574,5571.399,57975.000
5,8.553,6484.445,67476.000
6,6.919,7483.501,77872.000
7,5.574,9119.796,94899.000
8,6.247,6289.843,65451.000
9,0.481,300.505,3127.000
10,2.979,1982.063,20625.000
11,2.210,1827.342,19015.000
12,4.325,2531.659,26344.000
13,4.036,5329.035,55453.000
14,0.769,440.523,4584.000
15,2.595,1930.650,20090.000
16,5.862,5292.613,55074.000
17,5.093,5156.439,53657.000
18,2.691,1652.632,17197.000
19,0.769,422.648,4398.000
20,4.036,4922.916,51227.000
21,13.646,25240.768,262651.000
22,1.345,777.257,8088.000
23,1.538,956.484,9953.000
24,6.343,4448.855,46294.000
25,4.997,5143.177,53519.000
26,0.096,48.819,508.000
27,5.093,3883.402,40410.000
28,0.481,258.893,2694.000
29,2.018,1413.631,14710.000
30,0.577,316.361,3292.000
31,3.171,2707.522,28174.000
32,17.971,49088.470,510806.000
33,2.595,1825.708,18998.000
34,8.169,9369.849,97501.000
35,12.301,23169.044,241093.000
36,12.877,23900.942,248709.000
37,5.478,5393.422,56123.000
38,2.210,1791.401,18641.000
39,0.192,98.599,1026.000
40,0.769,448.499,4667.000
41,2.306,2166.383,22543.000
42,0.769,437.832,4556.000
43,2.499,1811.966,18855.000
44,5.958,10679.212,111126.000
45,2.883,1752.384,18235.000
46,0.769,466.950,4859.000
47,1.153,934.381,9723.000
48,8.361,10333.059,107524.000
49,4.132,4712.553,49038.000
50,2.883,2218.757,23088.000
51,18.067,42038.284,437443.000
52,0.192,97.061,1010.000
53,4.132,2675.617,27842.000
54,2.114,1725.860,17959.000
55,1.442,1083.336,11273.000
56,7.880,14154.957,147294.000
57,4.036,3870.621,40277.000
58,5.670,10234.941,106503.000
59,4.228,4154.020,43226.000
60,2.979,2995.246,31168.000
61,4.901,5401.014,56202.000
62,3.267,2449.397,25488.000
63,1.442,795.804,8281.000
64,0.481,254.569,2649.000
65,0.577,316.553,3294.000
66,1.538,950.814,9894.000
67,4.228,5118.768,53265.000
68,3.075,2641.309,27485.000
69,1.538,980.124,10199.000
70,9.802,14291.804,148718.000
71,0.961,538.833,5607.000
72,2.306,1952.464,20317.000
73,5.766,8673.412,90254.000
74,2.499,1557.493,16207.000
75,0.288,161.929,1685.000
76,1.345,815.120,8482.000
77,6.247,9136.614,95074.000
78,1.057,629.071,6546.000
79,0.096,49.395,514.000
80,0.865,503.468,5239.000
81,4.901,4062.340,42272.000
82,0.192,103.115,1073.000
83,1.442,1169.345,12168.000
84,10.667,10694.011,111280.000
85,13.838,25253.549,262784.000
86,0.961,544.503,5666.000
87,1.153,744.583,7748.000
88,5.382,5240.815,54535.000
89,1.057,628.110,6536.000
90,1.057,576.792,6002.000
91,8.072,12381.816,128843.000
92,5.958,7610.546,79194.000
93,2.499,2685.804,27948.000
94,0.961,560.071,5828.000
95,0.577,311.941,3246.000
96,1.730,1233.732,12838.000
97,6.054,9756.267,101522.000
98,3.075,2089.503,21743.000
99,3.075,2508.980,26108.000
100,1.538,1320.126,13737.000
101,5.189,9719.461,101139.000
102,1.345,1515.113,15766.000
103,3.364,2949.022,30687.000
104,3.075,2357.045,24527.000
105,1.730,1065.461,11087.000
106,0.384,214.687,2234.000
107,6.631,5933.888,61747.000
108,2.691,1957.173,20366.000
109,0.673,390.935,4068.000
110,6.054,11342.206,118025.000
111,0.769,468.488,4875.000
112,0.577,322.896,3360.000
113,1.153,734.108,7639.000
114,4.901,8386.553,87269.000
115,0.096,49.395,514.000
116,0.288,149.339,1554.000
117,4.036,3944.810,41049.000
118,8.265,12194.229,126891.000
119,1.057,660.688,6875.000
120,0.769,425.435,4427.000
121,2.595,2946.811,30664.000
122,1.442,815.601,8487.000
123,7.400,14232.894,148105.000
124,6.919,11040.259,114883.000
125,0.192,101.482,1056.000
126,0.384,203.252,2115.000
127,1.442,1175.880,12236.000
128,1.153,701.242,7297.000
129,8.072,9795.572,101931.000
130,5.286,4739.077,49314.000
131,1.345,903.725,9404.000
132,0.577,333.371,3469.000
133,7.688,7946.415,82689.000
134,3.267,2906.257,30242.000
135,4.997,7218.361,75113.000
136,4.997,6680.682,69518.000
137,2.114,1634.277,17006.000
138,0.673,371.715,3868.000
139,0.577,327.028,3403.000
140,0.769,439.273,4571.000
141,2.499,2111.606,21973.000
142,4.325,4411.760,45908.000
143,1.249,851.638,8862.000
144,0.192,97.349,1013.000
145,1.730,1331.178,13852.000
146,0.288,156.451,1628.000
147,14.799,19353.392,201388.000
148,1.730,1103.228,11480.000
149,1.730,1195.580,12441.000
150,5.862,5289.249,55039.000
151,0.961,544.695,5668.000
152,0.481,282.342,2938.000
153,1.538,1142.725,11891.000
154,1.538,1068.344,11117.000
155,1.826,1218.837,12683.000
156,0.865,502.219,5226.000
157,1.153,718.059,7472.000
158,1.153,706.912,7356.000
159,1.057,707.777,7365.000
160,0.192,106.287,1106.000
161,0.481,258.029,2685.000
162,1.922,1475.039,15349.000
163,1.730,1405.175,14622.000
164,0.096,50.645,527.000
165,1.730,1057.389,11003.000
166,0.384,196.525,2045.000
167,1.538,940.050,9782.000
168,1.730,1122.448,11680.000
169,2.403,2041.165,21240.000
170,1.345,744.103,7743.000
171,8.649,9011.011,93767.000
172,0.865,501.738,5221.000
173,0.865,472.428,4916.000
174,1.345,887.388,9234.000
175,0.288,157.220,1636.000
176,6.535,5047.077,52519.000
177,0.673,379.595,3950.000
178,0.673,355.762,3702.000
179,0.384,209.979,2185.000
180,2.018,1250.550,13013.000
181,10.763,15171.696,157874.000
182,1.922,1329.352,13833.000
183,0.384,211.420,2200.000
184,0.577,311.845,3245.000
185,2.595,2205.303,22948.000
186,7.304,6532.592,67977.000
187,2.306,1862.611,19382.000
188,12.974,25805.068,268523.000
189,2.403,1544.520,16072.000
190,0.577,314.728,3275.000
191,0.096,50.164,522.000
192,3.267,3306.418,34406.000
193,11.244,19027.709,197999.000
194,1.634,1397.967,14547.000
195,1.057,716.041,7451.000
196,0.096,49.492,515.000
197,6.150,10884.962,113267.000
198,2.979,2011.854,20935.000
199,0.769,413.038,4298.000
200,0.865,555.074,5776.000
201,2.403,2278.243,23707.000
202,0.577,319.821,3328.000
203,2.691,2300.923,23943.000
204,2.403,2143.031,22300.000
205,1.442,961.000,10000.000
206,2.403,1429.584,14876.000
207,0.192,102.250,1064.000
208,1.345,796.765,8291.000
209,8.553,15191.973,158085.000
210,2.210,1700.490,17695.000
211,10.763,26337.558,274064.000
212,4.517,5798.580,60339.000
213,3.652,3725.318,38765.000
