 ,Area,IntDen,RawIntDen
670,5.478,3190.905,33204.000
671,0.961,310.307,3229.000
672,2.403,1177.514,12253.000
673,0.769,416.690,4336.000
674,0.192,118.107,1229.000
675,0.192,72.940,759.000
676,2.595,1783.616,18560.000
677,2.499,1671.564,17394.000
678,0.481,554.593,5771.000
679,1.057,586.979,6108.000
680,1.538,891.328,9275.000
681,1.442,1474.463,15343.000
682,0.577,223.336,2324.000
683,1.826,951.582,9902.000
684,0.192,59.582,620.000
685,0.673,276.672,2879.000
686,0.577,294.162,3061.000
687,2.499,2200.306,22896.000
688,2.499,1048.067,10906.000
689,3.748,5642.897,58719.000
690,2.403,2514.073,26161.000
691,1.538,599.376,6237.000
692,0.769,403.044,4194.000
693,1.538,735.165,7650.000
694,0.192,56.315,586.000
695,0.192,78.129,813.000
696,2.306,3263.653,33961.000
697,0.192,61.024,635.000
698,0.192,65.444,681.000
699,12.781,20168.609,209871.000
700,7.304,14786.431,153865.000
701,2.979,3629.602,37769.000
702,5.382,4197.553,43679.000
703,2.210,1718.365,17881.000
704,5.574,3799.507,39537.000
705,2.403,1703.950,17731.000
706,2.691,1002.323,10430.000
707,2.210,921.888,9593.000
708,6.439,4171.222,43405.000
709,2.499,1408.922,14661.000
710,1.057,363.835,3786.000
711,4.517,7646.006,79563.000
712,0.192,80.820,841.000
713,1.057,473.677,4929.000
714,3.556,1530.970,15931.000
715,4.228,3441.054,35807.000
716,3.364,1373.077,14288.000
717,4.036,2587.974,26930.000
718,8.361,19947.579,207571.000
719,0.096,42.476,442.000
720,1.634,741.700,7718.000
721,1.442,652.519,6790.000
722,7.496,4808.365,50035.000
723,0.384,340.386,3542.000
724,0.192,61.696,642.000
725,2.018,1337.136,13914.000
726,1.922,2678.692,27874.000
727,1.730,578.234,6017.000
728,0.673,576.985,6004.000
729,5.574,2320.623,24148.000
730,0.769,451.958,4703.000
731,0.481,171.154,1781.000
732,1.922,1410.556,14678.000
733,4.997,2237.881,23287.000
734,6.343,8201.849,85347.000
735,5.862,8459.205,88025.000
736,1.538,862.882,8979.000
737,0.384,115.993,1207.000
738,4.325,3615.187,37619.000
739,4.036,3102.205,32281.000
740,2.210,1985.427,20660.000
741,1.634,1302.636,13555.000
742,2.499,1423.530,14813.000
743,0.481,269.945,2809.000
744,1.730,2005.511,20869.000
745,2.210,2866.376,29827.000
746,3.075,2602.197,27078.000
747,0.961,408.617,4252.000
748,3.267,2766.528,28788.000
749,3.652,1568.064,16317.000
750,0.577,221.607,2306.000
751,1.345,557.861,5805.000
752,3.556,1550.574,16135.000
753,0.384,123.392,1284.000
754,0.384,128.005,1332.000
755,2.403,1081.414,11253.000
756,1.538,731.610,7613.000
757,2.210,1610.348,16757.000
758,14.607,10283.568,107009.000
759,5.958,7390.861,76908.000
760,6.631,7357.226,76558.000
761,1.153,457.821,4764.000
762,1.634,1547.979,16108.000
763,0.192,66.021,687.000
764,1.249,580.540,6041.000
765,0.096,36.134,376.000
766,5.478,6262.550,65167.000
767,1.153,592.168,6162.000
768,0.192,61.120,636.000
769,1.249,512.309,5331.000
770,1.249,501.738,5221.000
771,6.823,7483.501,77872.000
772,0.288,246.400,2564.000
773,1.153,796.958,8293.000
774,1.634,1083.528,11275.000
775,2.210,775.527,8070.000
776,1.345,882.487,9183.000
777,4.228,2618.726,27250.000
778,1.922,770.914,8022.000
779,2.595,1206.440,12554.000
780,4.997,4407.628,45865.000
781,0.577,350.573,3648.000
782,5.478,6567.188,68337.000
783,0.577,224.682,2338.000
784,1.922,817.042,8502.000
785,7.208,7565.955,78730.000
786,0.192,74.574,776.000
787,3.844,3114.986,32414.000
788,0.384,130.504,1358.000
789,6.727,4577.533,47633.000
790,2.114,1170.883,12184.000
791,4.805,6952.549,72347.000
792,0.192,108.209,1126.000
793,2.306,1212.782,12620.000
794,1.345,813.102,8461.000
795,5.670,5371.799,55898.000
796,1.442,1064.884,11081.000
797,1.057,955.523,9943.000
798,4.036,5275.988,54901.000
799,9.130,16653.558,173294.000
800,2.595,2126.405,22127.000
801,0.769,250.244,2604.000
802,2.018,1016.546,10578.000
803,4.901,4346.508,45229.000
804,0.961,632.434,6581.000
805,1.538,686.731,7146.000
806,4.517,4163.245,43322.000
807,7.784,9659.879,100519.000
808,6.535,4465.384,46466.000
809,1.730,1059.118,11021.000
810,0.192,81.781,851.000
811,4.325,2703.390,28131.000
812,5.574,6509.239,67734.000
813,4.709,3560.698,37052.000
814,2.114,1351.647,14065.000
815,4.709,3877.636,40350.000
816,13.646,11469.058,119345.000
817,0.577,298.198,3103.000
818,9.130,7344.637,76427.000
819,1.922,2030.017,21124.000
820,0.192,178.842,1861.000
821,1.730,883.063,9189.000
822,2.018,1197.983,12466.000
823,0.769,455.034,4735.000
824,3.940,2594.028,26993.000
825,0.481,213.054,2217.000
826,0.961,793.978,8262.000
827,3.460,4055.325,42199.000
828,3.844,1970.435,20504.000
829,0.769,258.413,2689.000
830,2.403,3158.327,32865.000
831,1.249,442.060,4600.000
832,23.737,22776.956,237013.000
833,2.595,3801.429,39557.000
834,5.958,3439.516,35791.000
835,4.517,1823.690,18977.000
836,1.922,1466.486,15260.000
837,0.384,430.144,4476.000
838,0.096,39.785,414.000
839,4.325,2360.409,24562.000
840,0.769,449.364,4676.000
